ID	ANTIBODY	GROUP
BPES14_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES14_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
BPES18_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES18_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
BPES2_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES2_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
BPES4_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES4_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
BPES5_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES5_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
BPES8_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES8_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
BPES9_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
BPES9_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
D11_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D11_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D12_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D12_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D13_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D13_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D14_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D14_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D15_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D15_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D16_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D16_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D3_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D3_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D4_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D4_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D5_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D5_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D6_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D6_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D8_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D8_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
D9_H3K27Ac.noDups.filtered.bam	H3K27Ac	Ctrl
D9_H3K4me3.noDups.filtered.bam	H3K4me3	Ctrl
ESCB006NP_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
ESCB006NP_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
ESCB057_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
ESCB057_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
ESCB204_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
ESCB204_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
ESCB613_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
ESCB613_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
ESCB768_H3K27Ac.noDups.filtered.bam	H3K27Ac	SSc
ESCB768_H3K4me3.noDups.filtered.bam	H3K4me3	SSc
